sentence_id	speaker_id	path
3	3	wav_clips/common_voice_en_41881685.wav
4	4	wav_clips/common_voice_en_41799514.wav
5	5	wav_clips/common_voice_en_41552032.wav
6	6	wav_clips/common_voice_en_41827319.wav
8	8	wav_clips/common_voice_en_41435787.wav
9	9	wav_clips/common_voice_en_41633128.wav
10	10	wav_clips/common_voice_en_41586424.wav
12	12	wav_clips/common_voice_en_41469700.wav
15	15	wav_clips/common_voice_en_41518962.wav
17	17	wav_clips/common_voice_en_41532689.wav
18	18	wav_clips/common_voice_en_41503591.wav
19	19	wav_clips/common_voice_en_41816931.wav
20	20	wav_clips/common_voice_en_41267069.wav
22	22	wav_clips/common_voice_en_41629760.wav
23	23	wav_clips/common_voice_en_41674821.wav
24	24	wav_clips/common_voice_en_41577054.wav
25	25	wav_clips/common_voice_en_41583225.wav
28	28	wav_clips/common_voice_en_41503529.wav
29	29	wav_clips/common_voice_en_41678018.wav
30	30	wav_clips/common_voice_en_41548292.wav
31	31	wav_clips/common_voice_en_41680077.wav
32	32	wav_clips/common_voice_en_41798570.wav
33	33	wav_clips/common_voice_en_41295264.wav
36	36	wav_clips/common_voice_en_41550758.wav
38	38	wav_clips/common_voice_en_41693119.wav
40	39	wav_clips/common_voice_en_41798305.wav
45	42	wav_clips/common_voice_en_41547685.wav
47	43	wav_clips/common_voice_en_41587501.wav
48	43	wav_clips/common_voice_en_41654965.wav
49	44	wav_clips/common_voice_en_41684833.wav
50	44	wav_clips/common_voice_en_41685590.wav
52	45	wav_clips/common_voice_en_41833909.wav
53	46	wav_clips/common_voice_en_41795315.wav
56	47	wav_clips/common_voice_en_41692025.wav
57	48	wav_clips/common_voice_en_41539028.wav
58	48	wav_clips/common_voice_en_41539144.wav
59	49	wav_clips/common_voice_en_41669299.wav
61	50	wav_clips/common_voice_en_41465981.wav
62	50	wav_clips/common_voice_en_41466012.wav
64	51	wav_clips/common_voice_en_41644631.wav
65	51	wav_clips/common_voice_en_41647486.wav
66	51	wav_clips/common_voice_en_41647490.wav
68	52	wav_clips/common_voice_en_41746309.wav
69	52	wav_clips/common_voice_en_41748220.wav
73	54	wav_clips/common_voice_en_41474829.wav
76	54	wav_clips/common_voice_en_41474838.wav
77	55	wav_clips/common_voice_en_41795709.wav
78	55	wav_clips/common_voice_en_41795905.wav
80	55	wav_clips/common_voice_en_41796169.wav
81	56	wav_clips/common_voice_en_41650651.wav
83	56	wav_clips/common_voice_en_41650825.wav
85	57	wav_clips/common_voice_en_41414853.wav
91	58	wav_clips/common_voice_en_41320212.wav
92	58	wav_clips/common_voice_en_41388272.wav
93	58	wav_clips/common_voice_en_41405074.wav
94	58	wav_clips/common_voice_en_41459660.wav
95	58	wav_clips/common_voice_en_41515144.wav
96	58	wav_clips/common_voice_en_41651891.wav
97	59	wav_clips/common_voice_en_41485389.wav
98	59	wav_clips/common_voice_en_41485411.wav
99	59	wav_clips/common_voice_en_41485468.wav
100	59	wav_clips/common_voice_en_41485470.wav
101	59	wav_clips/common_voice_en_41485479.wav
103	59	wav_clips/common_voice_en_41486095.wav
104	59	wav_clips/common_voice_en_41486099.wav
105	59	wav_clips/common_voice_en_41486103.wav
115	60	wav_clips/common_voice_en_41289234.wav
116	60	wav_clips/common_voice_en_41289374.wav
119	60	wav_clips/common_voice_en_41289396.wav
122	60	wav_clips/common_voice_en_41289508.wav
123	60	wav_clips/common_voice_en_41289521.wav
130	60	wav_clips/common_voice_en_41290028.wav
137	60	wav_clips/common_voice_en_41290137.wav
145	60	wav_clips/common_voice_en_41290431.wav
146	60	wav_clips/common_voice_en_41290436.wav
